msp,phylum,class,order,family,genus,species
msp_1849,Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,Candidatus Melainabacteria bacterium js4906-25-3_S22_33_82
msp_1850,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,unclassified Ruminococcaceae
msp_1851,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unclassified Blautia
msp_1852,Tenericutes,Mollicutes,RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes
msp_1853,Elusimicrobia,unclassified Elusimicrobia,unclassified Elusimicrobia,unclassified Elusimicrobia,unclassified Elusimicrobia,unclassified Elusimicrobia
msp_1854,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,unclassified Ruminococcaceae
msp_1855,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1856,Tenericutes,Tenericutes 2,Anaeroplasmatales,Anaeroplasmataceae,unclassified_Anaeroplasmataceae,unclassified_Anaeroplasmataceae
msp_1857,Tenericutes,Mollicutes 2,Erysipelotrichales,Erysipelotrichaceae,unclassified_Erysipelotrichaceae,unclassified_Erysipelotrichaceae
msp_1858,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1859,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,unclassified Alistipes
msp_1860,Tenericutes,Mollicutes,RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes
msp_1861,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,unclassified Fusobacterium
msp_1862,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1863,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,[Escherichia coli] CIM:MAG 560
msp_1864,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,unclassified Lachnospiraceae
msp_1865,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,unclassified Lachnospiraceae
msp_1866,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,unclassified Clostridium
msp_1867,Tenericutes,Tenericutes 2,Anaeroplasmatales,Anaeroplasmataceae,unclassified_Anaeroplasmataceae,unclassified_Anaeroplasmataceae
msp_1868,Tenericutes,Mollicutes,RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes,unclassified_RF39_Mollicutes
msp_1869,Tenericutes,Mollicutes 2,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,unclassified_Holdemanella
msp_1870,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,unclassified Odoribacteraceae,unclassified Odoribacteraceae
msp_1871,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 3,unclassified Clostridiales 3,unclassified Clostridiales 3
msp_1873,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 2,unclassified Clostridiales 2,unclassified Clostridiales 2
msp_1874,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,unclassified Lachnospiraceae
msp_1875,Firmicutes,Clostridia,Clostridiales,Christensenellaceae-Catabacteriaceae,unclassified Christensenellaceae-Catabacteriaceae,unclassified Christensenellaceae-Catabacteriaceae
msp_1876,Proteobacteria,Betaproteobacteria,unclassified Betaproteobacteria,unclassified Betaproteobacteria,unclassified Betaproteobacteria,unclassified Betaproteobacteria
msp_1877,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales 5,unclassified Clostridiales 5,unclassified Clostridiales 5
msp_1878,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,unclassified Barnesiellaceae,unclassified Barnesiellaceae
msp_1879,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unclassified Bacteroides
msp_1880,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,unclassified Phascolarctobacterium
msp_1881,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1882,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,unclassified Megamonas
msp_1883,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas caviae
msp_1884,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1885,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified Prevotella
msp_1886,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,unclassified Atopobiaceae,Atopobiaceae sp1
msp_1887,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,unclassified Sutterella
msp_1888,Candidatus Melainabacteria,unclassified Candidatus Melainabacteria,Candidatus Gastranaerophilales,unclassified Candidatus Gastranaerophilales,unclassified Candidatus Gastranaerophilales,unclassified Candidatus Gastranaerophilales
msp_1889,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified
msp_1890,Tenericutes,Tenericutes 2,Anaeroplasmatales,Anaeroplasmataceae,unclassified_Anaeroplasmataceae,unclassified_Anaeroplasmataceae
